pl_name,sy_mnum,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim
2MASS J01033563-5515561 AB b,0,2013,,,,,12.300,,,0,4131.79000,317.83000,-317.83000,0,12.200000,,,0,,,,,,,,
2MASS J01225093-2439505 b,0,2013,,,,,11.209,,,0,7786.50000,794.50000,-794.50000,0,30.400000,,,0,,,,,,,,
2MASS J02192210-3925225 b,0,2015,,,,,16.141,0.336,-0.336,0,4417.83700,349.61300,-349.61300,0,5.770000,,,0,,,,,,,,
2MASS J04414489+2301513 b,0,2010,,,,,12.600,,,0,2383.60000,794.50000,-794.50000,0,6.550000,,,0,,,,,,,,
2MASS J12073346-3932539 b,0,2004,,,,,12.900,,,0,1589.15000,635.66000,-635.66000,0,4.070000,,,0,,,,,,,,
2MASS J19383260+4603591 b,0,2015,406.00000000,4.00000000,-4.00000000,0,13.400,,,0,603.87700,31.78300,-31.78300,0,1.380000,,,0,,,,,,,,
2MASS J21402931+1625183 A b,0,2009,7336.50000000,1934.50000000,-584.00000000,0,10.310,4.370,-4.040,0,6657.48000,26629.91000,-6657.48000,0,33.400000,,,0,,,,,,,,
2MASS J22362452+4751425 b,0,2016,,,,,12.300,,,0,3972.87500,476.74500,-476.74500,0,11.700000,,,0,,,,,,,,
30 Ari B b,0,2009,335.10001000,2.50000000,-2.50000000,0,12.300,,,0,4392.41060,572.09400,-572.09400,0,13.000000,,,0,,,,,272.000,24.000,-24.000,0
4 UMa b,0,2006,269.30000000,1.96000000,-1.96000000,0,12.700,,,0,2256.50000,508.50000,-508.50000,0,6.050000,,,0,,,,,215.550,7.100,-7.100,0
42 Dra b,0,2008,479.10000000,6.20000000,-6.20000000,0,13.000,,,0,1233.13000,270.14000,-270.14000,0,3.080000,,,0,,,,,110.500,7.000,-7.000,0
47 UMa b,0,1996,1078.00000000,2.00000000,-2.00000000,0,13.200,,,0,804.08000,22.25000,-19.07000,0,1.920000,,,0,,,,,48.400,0.800,-0.900,0
47 UMa c,0,2001,2391.00000000,100.00000000,-87.00000000,0,14.200,,,0,171.62100,20.97600,-23.20100,0,0.329000,,,0,,,,,8.000,1.000,-1.000,0
47 UMa d,0,2009,14002.00000000,4018.00000000,-5095.00000000,0,13.500,,,0,521.22000,92.17000,-152.55000,0,1.160000,,,0,,,,,13.800,2.200,-2.900,0
51 Eri b,0,2015,11688.00000000,6209.25000000,-3287.25000000,0,13.400,,,0,635.66000,,,0,1.450000,,,0,,,,,,,,
51 Peg b,0,1995,4.23078500,0.00003600,-0.00003600,0,14.300,,,0,146.20180,19.06980,-3.17830,0,0.275000,,,0,,,,,55.940,0.690,-0.690,0
55 Cnc b,0,1996,14.65160000,0.00010000,-0.00010000,0,13.900,,,0,263.97850,1.04880,-1.04880,0,0.540000,,,0,,,,,71.370,0.210,-0.210,0
55 Cnc c,0,2004,44.39890000,0.00420000,-0.00430000,0,8.510,,,0,54.47380,1.74800,-1.74800,0,0.486000,,,0,,,,,9.890,0.220,-0.220,0
55 Cnc d,0,2002,5574.20000000,93.80000000,-88.60000000,0,13.000,,,0,1232.49300,21.61200,-21.61200,0,3.080000,,,0,,,,,38.600,1.300,-1.400,0
